@stable age:young,middleaged,senior,old
@flexible workclass:Private,Selfempnotinc,Selfempinc,Federalgov,Localgov,Stategov,Withoutpay,Neverworked
@stable education:Bachelors,Somecollege,11th,HSgrad,Profschool,Assocacdm,Assocvoc,9th,7th8th,12th,Masters,1st4th,10th,Doctorate,5th6th,Preschool
@flexible maritalstatus:Marriedcivspouse,Divorced,Nevermarried,Separated,Widowed,Marriedspouseabsent,MarriedAFspouse
@flexible occupation:Techsupport,Craftrepair,Otherservice,Sales,Execmanagerial,Profspecialty,Handlerscleaners,Machineopinspct,Admclerical,Farmingfishing,Transportmoving,Privhouseserv,Protectiveserv,ArmedForces
@flexible relationship:Wife,Ownchild,Husband,Notinfamily,Otherrelative,Unmarried
@stable race:White,AsianPacIslander,AmerIndianEskimo,Other,Black
@stable sex:Female,Male
@flexible hoursperweek:halftime,fulltime,overtime,toomuch
@stable nativecountry:UnitedStates,Cambodia,England,PuertoRico,Canada,Germany,India,Japan,Greece,South,China,Cuba,Iran,Honduras, Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,DominicanRepublic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,OutlyingUS(GuamUSVIetc,Scotland,Thailand,Yugoslavia,ElSalvador,Trinadad&Tobago,Peru,Hong,HolandNetherlands
@class income:1,2
@data
middleaged,Private,HSgrad,Divorced,Handlerscleaners,Unmarried,White,Male,fulltime,UnitedStates,1
middleaged,Federalgov,HSgrad,Marriedcivspouse,Admclerical,Husband,Black,Male,toomuch,UnitedStates,2
senior,Selfempinc,Somecollege,Marriedcivspouse,Craftrepair,Husband,AsianPacIslander,Male,overtime,UnitedStates,2
senior,Selfempnotinc,10th,Marriedcivspouse,Sales,Husband,White,Male,toomuch,UnitedStates,1
middleaged,Private,Bachelors,Marriedcivspouse,Craftrepair,Ownchild,White,Male,fulltime,UnitedStates,2
senior,Selfempnotinc,Profschool,Marriedcivspouse,Profspecialty,Husband,White,Male,toomuch,UnitedStates,2
senior,Selfempnotinc,Somecollege,Marriedcivspouse,Execmanagerial,Husband,White,Male,fulltime,UnitedStates,1
senior,Selfempinc,Bachelors,Marriedcivspouse,Execmanagerial,Husband,AsianPacIslander,Male,overtime,Japan,2
young,Stategov,Somecollege,Nevermarried,Admclerical,Ownchild,White,Female,fulltime,UnitedStates,1
senior,Private,HSgrad,Separated,Profspecialty,Otherrelative,Black,Female,fulltime,UnitedStates,2
senior,Private,HSgrad,Marriedcivspouse,Machineopinspct,Husband,Black,Male,fulltime,UnitedStates,2
old,Private,Bachelors,Widowed,Execmanagerial,Notinfamily,White,Male,fulltime,UnitedStates,2
